From	To	
P02638   S100B	
P02647   APOA1	
P02649   APOE	
P02652   APOA2	
P02655   APOC2	
P02671   FGA	
P02675   FGB	
P02679   FGG	
P02741   CRP	
P02743   APCS	
P02745   C1QA	
P02746   C1QB	
P02747   C1QC	
P02748   C9	
P02749   APOH	
P02750   LRG1	
P02751   FN1	
P02753   RBP4	
P02760   AMBP	
P02765   AHSG	
P02768   ALB	
P02774   GC	
P02775   PPBP	
P02786   TFRC	
P02787   TF	
P02788   LTF	
P02790   HPX	
P03951   F11	
P03952   KLKB1	
P03956   MMP1	
P03969   FGF2	
P04070   PROC	
P04075   ALDOA	
P04083   ANXA1	
P04085   PDGFA	
P04114   APOB	
P04141   CSF2	
P04180   LCAT	
P04196   HRG	
P04233   CD74	
P04264   KRT1	
P04275   VWF	
P04278   SHBG	
P04626   ERBB2	
P04746   AMY2A	
P05067   APP	
P05090   APOD	
P05106   ITGB3	
P05107   ITGB2	
P05109   S100A8	
P05111   INHA	
P05113   IL5	
P05121   SERPINE1	
P05154   SERPINA5	
P05156   CFI	
P05160   F13B	
P05187   ALPP	
P05230   FGF1	
P05231   IL6	
P05362   ICAM1	
P05452   CLEC3B	
P05546   SERPIND1	
P05556   ITGB1	
P06213   INSR	
P06396   GSN	
P06401   PGR	
P06681   C2	
P06702   S100A9	
P06734   FCER2	
P06744   GPI	
P06756   ITGAV	
P06870   KLK1	
P07200   TGFB1	
P07204   THBD	
P07237   P4HB	
P07288   KLK3	
P07306   ASGR1	
P07307   ASGR2	
P07339   CTSD	
P07355   ANXA2	
P07357   C8A	
P07358   C8B	
P07360   C8G	
P07477   PRSS1	
P07498   CSN3	
P07510   CHRNG	
P07550   ADRB2	
P07602   PSAP	
P07711   CTSL	
P07766   CD3E	
P07858   CTSB	
P07942   LAMB1	
P07996   THBS1	
P08069   IGF1R	
P08123   COL1A2	
P08138   NGFR	
P08235   NR3C2	
P08236   GUSB	
P08246   ELANE	
P08253   MMP2	
P08254   MMP3	
P08311   CTSG	
P08493   MGP	
P08514   ITGA2B	
P08571   CD14	
P08572   COL4A2	
P08575   PTPRC	
P08581   MET	
P08603   CFH	
P08637   FCGR3A	
P08648   ITGA5	
P08697   SERPINF2	
P08709   F7	
P08758   ANXA5	
P08833   IGFBP1	
P08865   RPSA	
